TOKEN |RUTA|FECHAHORA|PROCESOACTIVO
6f497d69449e8c1c82075e3d3741513c08a6868a51533badb0eb64cfd94c654f|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260102135800datosUsuarioCorrecto.txt|2026/01/02 13:58:00|activo
9aebd6225d5397f18dfe629b5ea1ee73a9a1ed2bc509e2e92222917cdd462669|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260102140719datosUsuarioCorrecto.txt|2026/01/02 14:07:19|activo
ba889ef7d73de266f6a7752e3cb254bbd2e7b05d69dd6d9526a5cca7b2a1e9db|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260102140843datosUsuarioCorrecto.txt|2026/01/02 14:08:43|activo
a8d03b803a5134cc555b0472d3c4df6c2d7f2da26f4a892ddb5cb25587801a76|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260102145445datosUsuarioCorrecto.txt|2026/01/02 14:54:45|activo
6b6afafe4ecd79ca8914e7c6a0292eee4d6eb417bb0ef97889577000c92035b0|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260102145621datosUsuarioCorrecto.txt|2026/01/02 14:56:21|activo
467d0b4c685a46321b9c204ae993a5f4950f73ba2a5956ba90e753c956ef356f|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260102150116datosUsuarioCorrecto.txt|2026/01/02 15:01:16|activo
eb46be6a3ca03e8c55c8817cacdb5498a733851c5ecd4c50e24bd333aa38fc91|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260102150734datosUsuarioCorrecto.txt|2026/01/02 15:07:34|activo
b9605fbbb81c61d8e203691cce1ca9b8ab6fd1af9a203fefeb2d12d4e8c7a323|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260102151243datosUsuarioCorrecto.txt|2026/01/02 15:12:43|activo
a6486a21d92e6c3e64f7d5d08ba4569313f57c527e8a25f61968f77a0c9b41c9|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260102152303datosUsuarioCorrecto.txt|2026/01/02 15:23:03|activo
88e1d128a0ab21be64a8139511d6563a3bfebdad27a4db178008ab8e122287bc|C:\Users\digis\OneDrive\Documentos\Victor Jesus Perez Romero\vPerez_ProgramacionNCapasNov2025_Service/src\main\resources\archivos/20260102152517datosUsuarioCorrecto.txt|2026/01/02 15:25:17|activo
